t,S,N,C,delta,phase4_active
10435,0.99656940,0.00179470,0.00163590,0.00005268,1
10436,0.99661874,0.00174273,0.00163852,0.00007171,1
10437,0.99647864,0.00179997,0.00172139,0.00017254,1
10438,0.99657689,0.00178667,0.00163644,0.00013057,1
10439,0.99671776,0.00177152,0.00151072,0.00018942,1
10440,0.99676995,0.00171752,0.00151253,0.00007512,1
10441,0.99694515,0.00164961,0.00140524,0.00021637,1
10442,0.99713260,0.00155690,0.00131050,0.00022959,1
10443,0.99708993,0.00156487,0.00134520,0.00005558,1
10444,0.99706430,0.00154439,0.00139131,0.00005659,1
10445,0.99698440,0.00158093,0.00143466,0.00009797,1
10446,0.99682439,0.00167912,0.00149650,0.00019765,1
10447,0.99687008,0.00166122,0.00146870,0.00005640,1
10448,0.99693740,0.00165301,0.00140959,0.00008996,1
10449,0.99693193,0.00168984,0.00137823,0.00004868,1
10450,0.99698614,0.00169593,0.00131793,0.00008132,1
10451,0.99699387,0.00170516,0.00130096,0.00002081,1
10452,0.99703856,0.00168876,0.00127268,0.00005537,1
10453,0.99710451,0.00163757,0.00125792,0.00008477,1
10454,0.99716821,0.00157538,0.00125641,0.00008904,1
10455,0.99746888,0.00140923,0.00112190,0.00036892,1
10456,0.99750351,0.00141628,0.00108022,0.00005465,1
10457,0.99759733,0.00134884,0.00105383,0.00011852,1
10458,0.99775986,0.00125806,0.00098208,0.00019951,1
10459,0.99775173,0.00127493,0.00097334,0.00002066,1
10460,0.99772902,0.00129038,0.00098060,0.00002841,1
10461,0.99772471,0.00129254,0.00098276,0.00000528,1
10462,0.99765903,0.00130412,0.00103685,0.00008587,1
10463,0.99768825,0.00130845,0.00100330,0.00004470,1
10464,0.99773146,0.00129464,0.00097390,0.00005405,1
10465,0.99766955,0.00132084,0.00100961,0.00007612,1
10466,0.99754732,0.00140568,0.00104700,0.00015341,1
10467,0.99765204,0.00135065,0.00099731,0.00012831,1
10468,0.99768222,0.00136954,0.00094824,0.00006063,1
10469,0.99756373,0.00138328,0.00105299,0.00015875,1
10470,0.99752307,0.00141577,0.00106116,0.00005269,1
10471,0.99764448,0.00133780,0.00101772,0.00015068,1
10472,0.99764718,0.00135810,0.00099472,0.00003080,1
10473,0.99753127,0.00140889,0.00105984,0.00014232,1
10474,0.99751592,0.00142230,0.00106178,0.00002047,1
10475,0.99748881,0.00146380,0.00104739,0.00005162,1
10476,0.99741410,0.00151477,0.00107113,0.00009350,1
10477,0.99755745,0.00146121,0.00098135,0.00017742,1
10478,0.99757853,0.00145952,0.00096194,0.00002871,1
