time_tag,dsflag_de1,dsflag_de4,dsflag_p1,dsflag_p3,dsflag_p5,dsflag_p7,dsflag_fp6p,numpts_de1,numpts_de4,numpts_p1,numpts_p3,numpts_p5,numpts_p7,numpts_fp6p,de1,de4,p1,p3,p5,p7,fp6p,fp6p_ratio,dsflag_p2,dsflag_p4,dsflag_p6,dsflag_p8,numpts_p2,numpts_p4,numpts_p6,numpts_p8,p2,p4,p6,p8,dsflag_p1_30,dsflag_p2_30,dsflag_p4_30,dsflag_p3_30,dsflag_p5_30,dsflag_p6_30,dsflag_p7_30,dsflag_p8_30,numpts_p1_30,numpts_p2_30,numpts_p3_30,numpts_p4_30,numpts_p5_30,numpts_p6_30,numpts_p7_30,numpts_p8_30,p1_30,p2_30,p3_30,p4_30,p5_30,p6_30,p7_30,p8_30
2025-12-06T01:00:00,0,0,0,0,0,0,0,48,48,191,191,191,95,95,3722.0869,15.773696,8100.3315,40.074665,12.852512,3.0878029,11.705347,,0,0,0,0,191,191,95,95,106.39841,22.659908,8.4525919,0.78919548,0,0,0,0,0,0,0,0,48,48,48,48,24,24,24,24,13175.145,4325256.5,341344.5,1288.1387,24.412294,13.687201,5.71697,1.0832486
2025-12-06T00:55:00,0,0,0,0,0,0,0,47,47,190,190,190,95,95,3256.9521,17.006802,7442.0542,38.362865,12.851837,3.315094,12.54057,,0,0,0,0,190,190,95,95,85.842262,22.532812,7.4974313,0.7637763,0,0,0,0,0,0,0,0,47,47,47,47,24,24,24,24,12572.71,4309219.5,347164.91,1459.1965,23.610695,13.388041,5.1759911,1.1195354
2025-12-06T00:50:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,2967.7415,20.113815,7818.9312,37.49992,12.336407,3.0935123,11.674099,,0,0,0,0,182,182,91,91,87.410828,21.079777,6.3916736,0.68753254,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,12898.015,4338091.5,358710.56,1591.9357,23.268206,13.015928,5.1300173,1.1474007
2025-12-06T00:45:00,0,0,0,0,0,0,0,48,48,193,193,193,96,96,3135.8997,14.947212,7808.0537,38.586803,12.999938,3.0948551,11.605114,,0,0,0,0,193,193,96,96,78.20443,20.736725,7.0983233,0.71778041,0,0,0,0,0,0,0,0,48,48,48,48,24,24,24,24,12642.67,4304118.0,344896.22,1515.9902,20.318899,10.463236,5.0721221,1.1483871
2025-12-06T00:40:00,0,0,0,0,0,0,0,47,47,188,188,188,94,94,3414.6033,17.352608,7798.3979,38.006233,14.137918,3.4910743,10.612148,,0,0,0,0,188,188,94,94,71.264442,22.01701,7.2815742,0.81695133,0,0,0,0,0,0,0,0,47,47,47,47,23,23,23,23,13739.934,4339799.5,352923.78,1404.9928,18.135841,10.268476,4.5122471,0.99692124
2025-12-06T00:35:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,3121.239,16.113245,7734.1113,37.125492,14.400728,3.0871441,11.376969,,0,0,0,0,182,182,91,91,73.67411,21.816328,8.0167341,0.89549839,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,12889.456,4329141.5,354109.5,1425.9163,21.419823,12.017447,6.2193279,1.2065414
2025-12-06T00:30:00,0,0,0,0,0,0,0,49,49,195,195,195,97,97,3051.9338,15.028506,7887.5039,38.928295,13.041445,3.260262,11.410542,,0,0,0,0,195,195,97,97,84.05085,20.169949,6.8994083,0.74647194,0,0,0,0,0,0,0,0,49,49,49,49,24,24,24,24,12504.883,4333926.5,356015.09,1462.964,16.589607,10.132494,4.4805775,1.0971004
2025-12-06T00:25:00,0,0,0,0,0,0,0,46,46,186,186,186,93,93,3525.97,15.929552,7808.2051,41.230286,15.075619,3.4090698,10.472638,,0,0,0,0,186,186,93,93,69.994965,21.602545,7.7439799,0.89117968,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,13755.354,4324114.0,353217.84,1408.5015,16.119402,8.6888638,4.0496716,0.96553719
2025-12-06T00:20:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,3255.3857,18.402622,7451.0205,40.742756,13.242767,3.459028,10.525785,,0,0,0,0,182,182,91,91,82.249603,17.77273,7.3280339,0.85086185,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,12445.605,4302850.0,338831.25,1286.0243,17.204008,10.634504,4.3201141,0.93362874
2025-12-06T00:15:00,0,0,0,0,0,0,0,49,49,197,197,197,98,98,3547.5986,17.4125,7988.7871,40.739838,13.024308,3.2887125,10.045805,,0,0,0,0,197,197,98,98,83.585403,22.109554,7.4586849,0.89493471,0,0,0,0,0,0,0,0,49,49,49,49,25,25,25,25,11968.713,4263219.0,323129.34,1184.4889,18.881392,10.38855,4.7438889,1.1579807
